7zip 26.02-1
telegram-desktop 6.9.3-8
texinfo 7.3-1
thunar 4.20.8-3
thunar-volman 4.20.0-2
tig 2.6.1-1
tk 8.6.16-1
tmate 2.4.0-6
tmux-git 11047_3.6a.r329.g3f651d9f-1
tor-browser 12.5.4-1
tree 2.3.2-1
ttf-consolas-powerline 1.0.g3cd9d75-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-font-awesome-4 4.7.0-7
ttf-inconsolata-g 20090213-6
ttf-iosevka-term 34.7.0-1
ttf-meslo 1.2.1-3
ttf-weather-icons 2.0.12-1
tuxguitar 2.0.1-1
twitch 1.0.7-1
unclutter-xfixes-git v1.6.r8.g5260108-1
unrar 1:7.2.7-1
usbutils 019-1
vdpauinfo 1.5-3
vim-airline-gruvbox-git v2.0.0.r66.gcb4e7a5-1
vim-gruvbox-git v2.0.0.r66.gcb4e7a5-1
vlc-plugins-all 3.0.23_2-9
vulkan-radeon 1:26.1.4-1
w3m 0.5.6-1
wev 1.1.0-1
wget 1.25.0-5
which 2.25-1
wine-staging 9.20-1
wineasio 1.3.0-2
winetricks-git 20240105.r47.g72b934e1-1
wxwidgets-common 3.2.11-2
wxwidgets-gtk3 3.2.11-2
xapp 3.2.2-1
xcape 1.2-5
xclip 0.13-6
xdg-desktop-portal-gtk 1.15.3-1
xdotool 4.20260303.1-1
xorg-server 21.1.24-1
xorg-xdpyinfo 1.4.0-1
xorg-xev 1.2.7-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.7-1
xorg-xprop 1.2.8-1
xorg-xsetroot 1.1.3-2
xorg-xwininfo 1.1.6-2
xsettingsd-git 1.0.2.r7.g86ce25f-2
xterm 410-1
xwayland-satellite 0.8.1-2
yabridge-git 5.0.3.r7.gd58c2041-1
yabridgectl-git 3.8.1.r80.gffddb06b-1
yarn 1.22.22-2
yay 13.0.1-1
youtube-viewer-git 3.11.6.r0.gcc1264a-1
yt-dlp 2026.07.04-1
zathura 2026.07.02-1
zathura-cb 2026.05.10-4
zathura-pdf-mupdf 2026.05.10-4
zathura-ypb 0.0.8.2.r30.gbef9bc4-3
zenity 4.2.2-1
zscroll-git 2.0.1.r4.g35c50fa-1
zsh 5.9.1-1
